"datum_uhrzeit";"startort";"zielort";"fahrtzeit_minuten"
2025-03-29 14:43:37.934086;"Leonding";"Linz Hauptbahnhof";10.2166666666667
2025-03-29 14:43:39.760569;"Leonding";"Industriezeile, Linz";14.0333333333333
2025-03-29 14:43:40.319031;"Leonding";"Johannes-Kepler-Universität Linz";18.5666666666667
2025-03-29 14:43:40.889461;"Gallneukirchen";"Linz Hauptbahnhof";19.7
2025-03-29 14:43:41.310407;"Gallneukirchen";"Industriezeile, Linz";14.55
2025-03-29 14:43:41.998676;"Gallneukirchen";"Johannes-Kepler-Universität Linz";11.6666666666667
2025-03-29 14:43:42.414029;"Ansfelden";"Linz Hauptbahnhof";13.5833333333333
2025-03-29 14:43:42.782231;"Ansfelden";"Industriezeile, Linz";14.9833333333333
2025-03-29 14:43:43.2701;"Ansfelden";"Johannes-Kepler-Universität Linz";19.4
2025-03-29 14:43:43.956908;"Pregarten";"Linz Hauptbahnhof";25.15
2025-03-29 14:43:44.516505;"Pregarten";"Industriezeile, Linz";20.15
2025-03-29 14:43:45.151153;"Pregarten";"Johannes-Kepler-Universität Linz";17.1333333333333
2025-03-29 14:43:46.501858;"Enns";"Linz Hauptbahnhof";19.6333333333333
2025-03-29 14:43:47.621972;"Enns";"Industriezeile, Linz";21.1333333333333
2025-03-29 14:43:48.427286;"Enns";"Johannes-Kepler-Universität Linz";25.5333333333333
2025-03-29 14:43:50.196115;"Steyregg";"Linz Hauptbahnhof";13.3666666666667
2025-03-29 14:43:51.389043;"Steyregg";"Industriezeile, Linz";11.1166666666667
2025-03-29 14:43:51.99791;"Steyregg";"Johannes-Kepler-Universität Linz";13.2333333333333
2025-03-29 14:43:52.438363;"Ottensheim";"Linz Hauptbahnhof";19.2833333333333
2025-03-29 14:43:53.048829;"Ottensheim";"Industriezeile, Linz";18.5166666666667
2025-03-29 14:43:53.699462;"Ottensheim";"Johannes-Kepler-Universität Linz";20.8666666666667
2025-03-29 14:43:54.301312;"Bad Leonfelden";"Linz Hauptbahnhof";37.7666666666667
2025-03-29 14:43:55.003775;"Bad Leonfelden";"Industriezeile, Linz";32.3833333333333
2025-03-29 14:43:55.529004;"Bad Leonfelden";"Johannes-Kepler-Universität Linz";30.6333333333333
2025-03-29 14:43:57.74106;"Wilhering";"Linz Hauptbahnhof";15.1
2025-03-29 14:43:58.315995;"Wilhering";"Industriezeile, Linz";16.9333333333333
2025-03-29 14:43:58.88407;"Wilhering";"Johannes-Kepler-Universität Linz";19.6
